Mod number,Mod name,Overview,Pre-Requisites,Co-requisites,Learning Objectives,Measureable Outcomes,Topics Covered,Textbook(s) and/or other required material,Delivery Format,Grading Scheme,Terms,Credits,Professors,Tags
20.099,Urban Sketching,Sketching is a way of communication and expression. Sketching architecture is a way to understand and record our spatial environment. Urban Sketching is designed to equip students with fundamental sketching skills with a focus on the urban fabrics and landscapes.,,,"The general learning objectives will be the acquisition of observation, sketching and drawing skills to present and perform self critique and reflection of personal work with reference to the urban built environment.

At the end of the course, students will be able to:

Show the stages in drawing
Understand the various drawing genres
Target critique sessions to developing awareness, appreciation and sensitivity for the visual words
Demonstrate sketching techniques and perspective theory used in Urban Sketching","Students will be able to

Explain the urban sketching process (class exercises)
Demonstrate understanding of proper drawing techniques, the use of lines, tonal values, textures and perspectives. (class exercises)
Relate theories on art elements, visual composition and perspectives to outdoor locations. (outdoor sketching, show and tell, discussions)
Apply observation skills with proper and good drawing techniques to outdoor locations (various)",,,,,2,12,,Core
20.101,Architecture Core Studio 1,"The studio establishes foundations for architectural design through three projects that build in scope and complexity to have students engage issues of 3-dimensional geometry and drawing, space and component aggregation, ordering systems, structure, circulation and narrative, and tectonics. The design process is introduced as an iterative form of research, experimentation, and play, enabling students to develop conceptual ideas about architecture and translate them into a series of physical and material investigations. Each exercise is envisioned as an introduction to design thinking through an increasingly more complex set of relationships with regard to formal procedures, programs, and systems.

 

Students are required to work in both physical and digital models, and rehearse both analogue and digital drawing techniques for each exercise. The exercises will test both conceptual and analytical thinking as well as aid in the development of representational skills.",,,,,,,"12-0-9*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,4,21,Carlos Bañón,Core
20.102,Architecture Core Studio 2,"Architecture Core Studio 2 expands the scope of architectural problems to include the urban scale, complex building structures, as well as cultural and programmatic materials (inhabitation and human factors). Two subsequent and interrelated design problems engage students in programs of public institutions in the context of higher education in Singapore. At the end of the studio, students are expected to be able to translate spatial, material, programmatic, and representational ideas into a comprehensive and powerful architectural proposal that articulates nuanced and convincing approaches to institutional building programs in the Singapore urban context.",20.101,,"Translate conceptual ideas into architectural propositions and understand the intentions and consequences behind basic design decisions.
Engage with an increasing level of design research through iterative studies and move fluidly between different modes and scales of operation.
Demonstrate advanced application of design skills, control of architectural conventions, and the ability to sustain an increasing level of research in architectural projects.
Expand the vocabulary and tools that enable design production.
Develop the ability to respond to complex urban sites, with succinct approaches to spatial and formal order, and complex approaches to programming and circulation.","Formulate coherent conceptual arguments that relate the designer’s programmatic stance to the overall massing, placement, and organization of the building.
Being able to define an architecturally successful overall building massing in a complex urban setting.
Draw overall coherent architectural building plans, sections, and elevations.
Being able to move between physical models and digital representation of architectural projects.
Create physical models using digital information and vice versa.
Understand the relationship of tectonic components to overall overall architectural design propositions.",,,"12-0-9*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,5,21,Eva Castro,Core
20.103,Architecture Core Studio 3,"Architecture Core Studio 3 expands the complexity of architectural design challenges further to the issue of human habitation. Seeking sustainable approaches to high-density living students will investigate the essential physical and social requirements for human dwelling and the mutual potentials evolving between the urban condition and innovative forms of residence.

 

Applying integrative design strategies building structures will be developed as coherent synthesis of load-bearing systems and of concepts for spatial hierarchies that anticipate issues like program, circulation and relation to the territory. With the provision of human comfort being a primary concern of habitation the design studio will also focus on the envelope’s capacities to control and facilitate exposure to climate, on its materiality and composition. In coordination with other courses students will expand design strategies to an integrative and simultaneous development of architectural form and building systems and develop an understanding of the relevance of building performance parameters.","20.101,
20.102",,"Understand, develop and translate concepts for human habitation and high-density living into innovative yet comprehensive architectural proposals.
Investigate strategic connections between the building’s organization and program and its urban setting.
Identify, characterize and integrate the primary elements of the various building systems for optimal whole building performance. Performance in architecture is interpreted in many ways, including social and programmatic, technical and sustainable.
Describe the primary challenges for a sustainable built environment and articulate the best strategies for achieving resource efficiency goals and on a building scale
Delineate and specify all essential elements of major building systems – like structure, building services and building envelope – as essential components of an integrative design practice.
Engage with materiality, tectonics and performance of building envelopes both in terms of architectural quality and climatic comfort.","Formulate coherent conceptual arguments that relate the design’s strategies for urban high-density living to the specific complexities of the urban setting, the building’s overall massing, its performance and its programmatic and spatial organization
Define targets for highest possible performance of each of the major building systems
Establish coherent links between building form and performance
Communicate the intent of the physical form both as an architectural proposition on human habitation and in terms of building performance
Provide comprehensive visualizations of the architectural space, form and physical construct as well as key performance metrics.",,,"12-0-9*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,6,21,Calcin Chua,Core
20.111,Sustainable Design Option Studio 1,"The Sustainable Design Studio Option builds upon and continues the Architectural Core Studio sequence, and explores the multi-dimensional issues of sustainable design through a variety of lenses and at diverse temporal and spatial scales. Issues of resource efficiency, resilience, material and typological innovation, micro-climatic and site affordances, life-cycles and metabolism, and many other critical issues will serve as the projective context in which students will develop critical design solutions for small, medium and large scale architectures and urban interventions.

 

The precise operational directives, precise briefs and specific sites, will be defined by the individual design critics in separate yet interconnected studio options, conducted in parallel under the umbrella of sustainable design. Each of these individual studio options, will be led by ASD faculty and visiting professors from around the world, and culminate in a speculative final project that will articulate architecturally specific positions regarding sustainable design in real world projects.","20.101,
20.102,
20.103",,"By the end of this course, you will be able to:

Identify issues of sustainable design in relation to socioeconomic, demographic and cultural trends, through the analysis of literature and review of architectural precedents
Perform rigorous site analysis and map the site conditions
Critique a project brief and develop strong, generative sustainable design concepts
Translate design concepts into meaningful architectural and/or urban propositions at appropriate scales and levels of granularity
Create convincing arguments for the design propositions and persuasive visual and tangible evidence","Interpret the sustainable parameters and other issues of relevance to the project using drawings and diagrams
Respond to a specific project brief and specific context with a meaningful design concept
Produce coherent architectural representations and models at sufficient levels of detail
Communicate convincingly sustainable design propositions in the form of renderings, drawings, simulations, models",,,"8-0-10*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,7,18,Khoo Peng Beng,Core
20.112,Sustainable Design Option Studio 2,"The Sustainable Design Studio Option 2 extends 20.111 Sustainable Design Studio Option 1, and provides further studio options to explore the multi-dimensional issues of sustainable design through a variety of lenses and at diverse temporal and spatial scales. Issues of resource efficiency, resilience, material and typological innovation, micro-climatic and site affordances, life-cycles and metabolism, and many other critical issues will serve as the projective context in which students will develop critical design solutions for small, medium and large scale architectures and urban interventions.

 

The precise operational directives, briefs and specific sites, will be defined by the individual design critics in separate yet interconnected studio options. Each of these individual studio options, will be led by ASD faculty and/or visiting professors from around the world, and culminate in a speculative final project that will articulate architecturally specific positions regarding sustainable design in real world projects.","20.101,
20.102,
20.103,
20.111",,"By the end of this course, you will be able to:

Identify issues of sustainable design in relation to socioeconomic, demographic and cultural trends, through the analysis of literature and review of architectural precedents
Perform rigorous site analysis and map the site conditions
Critique a project brief and develop strong, generative sustainable design concepts
Translate design concepts into meaningful architectural and/or urban propositions at appropriate scales and levels of granularity
Create convincing arguments for the design propositions and persuasive visual and tangible evidence","Interpret the sustainable parameters and other issues of relevance to the project using drawings and diagrams
Respond to a specific project brief and a specific context with a meaningful design concept
Produce coherent architectural representations and models at sufficient levels of detail
Communicate convincingly sustainable design propositions in the form of renderings, drawings, simulations, models",,,"8-0-10*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,8,18,Khoo Peng Beng,Core
20.201,Architecture Science and Technology,"The development of a building design to its actual construction is not a predetermined process. Each architectural design is an autonomous and unique scenario demanding a high level of creative invention supported by current and responsible technological knowledge. This understanding of the technology of assemblies should be less a mere familiarity with devices and products but rather, a working understanding of the forces, both general and specific, that affect the performance of building systems and the architecture. With this understanding, architects and engineers can then design physical assemblies and systems that both respond to and collaborate with these forces. The eventual humanity and beauty of any architectural construct is an almost pure reflection of the depth of both the thought of and individual, and the highly complex interactions of a collective effort. This course intends for the full depth of design possibilities to unfold and be revealed, not constrained, as technological issues are introduced. The building technology sequence in the core curriculum terms begins with an introduction to the performance requirements, physics and physical phenomena and construction systems of contemporary buildings. The intention of this class will be to link the diversity of physical forces relevant to building performance to the materials, components, assemblies and large scale systems that control and direct these forces and guide performance. This introduction will be phased to deliver to the entering Architecture and Sustainable Design student key concepts and essential analytical skills necessary for the rigorous selection and design of structural systems, enclosure and façade systems, environmental and energy systems, and circulation and interior systems. The scope of the class includes these major systems to an intermediate level of understanding and an introductory level of analysis and system design. Subsequent classes in the building technologies will build on all four systems in both detail complexity and integrative depth.

 

This class is an introduction to the science and physics of building design and performance and an understanding of contemporary building construction methods, materials, and technical information necessary for a responsible making of a humane built environment. It is also intended as an introduction to the historical foundations and cultural contexts in which construction technologies have been developed over time. The focus of the class will be put on an understanding of tectonic principles: the materials and components that comprise buildings, their relationship to the manufacturing processes, and the forces and physical phenomenon of performance requirements. Beyond that there will also be a substantial discussion of the environmental consequences of the construction and operation of the built environment. While the scope of the course is broad, it is not, and could never be, a comprehensive treatment of all issues regarding the design and construction of buildings. However, the course will address all of the primary forces that determine the configuration, materials and processes of construction and the integration of building systems into the completed whole.",,,"The learning objectives listed below constitute the essential elements of a holistic understanding of the various ways in which contemporary building systems deliver services to occupants in a reliable, safe and efficient manner. The main learning objective will be the acquisition of an analytical understanding of the performance of building systems and a qualitative appreciation of the system dynamics of these systems within the larger construction and with regard to all other building systems.

 

Students will be able to:

Identify and characterise the physical forces that are relevant for the performance of each one of different building systems
Measure the magnitude and aspect of the flow of these forces and describe these properties in quantitative terms
Formulate a variety of viable strategies that address these forces by controlling and directing the flow of forces toward productive uses for the building
Select and design simplified and appropriate building systems that attend to the set of performance requirements for best performance of major building systems","The key outcome will be for the student to be able to articulately describe the performance of a building system, its function, its intended operational goals and its essential working elements. Also, the student will be able to measure the predicted performance of a system.

 

Students will be able to:

Explain the physical forces that affect the performance of all building systems
Define the fundamental laws that govern the various sets of forces that affect the performance of building systems
Estimate the efficiency of different solutions for building systems
Design a simple structure, a simple building enclosure and a simple concept for the assembly of a building. Integrate a solution for heating, cooling and ventilating.",,,"5-0-4*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,5,9,Daniel Joseph Whittaker,Core
20.202,Architecture Strucutre and Enclosure Design,"The course provides students with basic knowledge of structural analysis and design. The course emphasizes the understanding of building structure as architectural elements and fosters a design attitude based on the understanding of forces and reactions. Students will design structures using force flow diagrams and simple computational tools and will gain an appreciation of the importance of structural design today, with an emphasis on the versatile performative potential of structures.

 

The course will cover the following topics: basic analysis and design of structures; approximate loadings for buildings, basic axial bending and shear forces in typical structural elements; the importance of fixity and ground reactions relationship of architectural and structural properties; materials in relation to forces; structural systems as space generator and facade. The laboratory exercises include analysis, basic FEA modelling, physical model building and designing.",,,"The learning objectives listed below constitute essential elements of a holistic understanding of the various ways in which contemporary building structures deliver services to occupants in a reliable, safe and efficient manner. The main learning objective will be the acquisition of an analytic understanding of the inner force flow of structural systems and a qualitative appreciation of the flexibility of these systems within the larger construction and with regard to architectural and performative requirements.

 

Students will be able to

Identify and characterize the vertical and horizontal dynamic, live and dead load and other mechanical stresses on building superstructures
Measure the magnitude and aspect of these forces and characterize and classify the behaviour of the building system under a variety of conditions
Formulate a variety of viable strategies of the building structure
Design and specify the materials, components and assemblies that attend to the set of performance requirements for best performance of a structural building system","The key outcome will be for the student to be able to articulately describe the performance of a structural system, its function, its intended operational goals and its essential working elements. Also, the student will be able to conceptualize an appropriate structural system and modify its performance with respect to given boundary conditions.

 

Students will be able to

Explain in detail the correlation between the physical form and inner force flow of a structural system and the performance profile of that system
Describe and quantitatively delineate the behaviour of the structure at the component and system scales
Derive and apply metrics for efficiency that consider the resource intensity of all aspects of the system
Design a complete and integrated enclosure and structural system for a contemporary building",,,"5-0-4*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,4,9,Sam Conrad Joyce,Core
20.203,Architecture Energy Systems,"Energy poses one of the greatest challenges to a future sustainable built environment. The individual buildings that comprise our ever-expanding urban landscape retain the potential to contribute significant efficiency savings to an overall mix of strategies necessary for a sustainable future. This class will address the needs of a variety of building types and the systems that distribute energy-based resources to their occupants.

 

The course material will be taught using a weekly series of lectures, recitations, and assignments. Two lectures per week introduce key concepts and illustrative case studies. One recitation per week further explores information from the lectures through hands-on activities and software tutorials. Assignments will be based upon the knowledge gained in the lectures and recitations. Student groups will apply the assignments to conceptual space design, a chosen studio project, or a semester-long design project.

 

There will be no formal exams in this course. You will be graded on your ability to utilize and explain the course concepts through your work on the ongoing class project. Recitations will not be formally graded, but will count towards the participation portion of a student’s grade and are necessary to complete the homework assignments.","20.201,
20.202",,"By the end of this course, you will be able to:

Explain the scope and performance requirements of energy systems in buildings.
Define the fundamental laws that govern energy flows in buildings.
Apply these fundamental laws to the thermal design and analysis of buildings.","Perform building energy, daylighting, and natural ventilation simulations as well as explain and understand their results.
Design a building in order to minimize energy use intensity and maximize comfort.",,,"5-0-4*

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,6,9,Zheng Kai,Core
20.212,Digital Design and Fabrication,"Digital Design and Fabrication investigates the transformation of conceptual design to production documentation and manufacturing within contemporary digital media. Situated at the threshold between virtual and physical, design information and artefacts, it is comprised of both design computation methods as well as material fabrication techniques. The course introduces advanced concepts of design computation such as imperative and declarative techniques of design description and analysis for fabrication, computer aided design and manufacturing workflows and technologies of materialization such as conventional fabrication protocols as well as rapid prototyping and numerically controlled manufacturing.",,,"Apply scripting and parametric modelling to construct designs in CAD environments
Synthesize designs using physical tools and learn a scalable method of production
Communicate design methods and ideas physically opposed to verbally
Directly manufacture designs with rapid prototyping and CAD/CAM manufacturing tools","Acquire a broad base of knowledge in areas of digital design and physical production
Learn methods of design production with digitally driven machines (e.g., CNC routing, Laser Cutting, Waterjet Cutting, FDM, 3D printing)
Apply CAD based methods to generate designs with scripting, surface and solid modelling programs",,,"4-0-5*
*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.",,4,9,Stylianos Dritsas,Core
