Mod number,Mod name,Overview,Pre-Requisites,Co-requisites,Learning Objectives,Measureable Outcomes,Topics Covered,Textbook(s) and/or other required material,Delivery Format,Grading Scheme,Terms,Credits,Professors,Tags
10.02,Data Driven World,"Students will dive in into the world of computing and data. The course is a continuation of Computational Thinking for Design (Term 1) and is designed as a project-based course. It introduces students to data structures, algorithm, and introductory machine learning algorithm in a practical way. In the first half, students learn to analyse and design programs revolving around data and algorithms. In the second half, students learn how algorithms can learn from data to make smart predictions that empowers today’s Artificial Intelligence and Data Science applications. Students will undertake various mini-projects where they apply what they have learnt to develop web applications. The course requires both programming skills from Computational Thinking for Design as well as mathematical thinking from SUTD’s other freshmore courses.",,,"By the end of this course, students should be able to:

Analyse different algorithms’s complexity in terms of computation time using Python computational model
Identify recursive structure in a problem and implement its solution in Python
Explain UML diagrams and design software using basic UML diagrams
Apply appropriate data structure and implement them using object oriented design
 Implement algorithm to find coefficients for linear regression by minimizing its error
Implement algorithm to classify categorical data using logistic regression for binary category and above
Analyse and evaluate linear regression using mean square error and correlation coefficient
Analyse and evaluate logistic regression using confusion matrix, its accuracy and recall",,,,5-0-7 (5 hours in class sessions and 7 hours of learning outside of class),"Students are graded continuously through cohort exercises, homeworks, mini projects and final project as well individual exam and quizzes.",3,12,,Freshmore Elective
10.025,Computational Thinking for Design,"An introductory programming course targeted at novice programmers taught using the Python programming language. It will introduce students to programming skills that are essential for their studies in SUTD, regardless of pillar choice.",,,"Acquire conceptual knowledge and skills for python programming

Gain skills in programming the Raspberry pi microcontroller
Apply computational thinking approaches to explore solutions to design and engineering problems",,,,"5-0-7 (two 2.5 hours cohort sessions)

*The first number represents the number of hours per week assigned for lectures, recitations and cohort classroom study. The second number represents the number of hours per week assigned for labs, design, or field work. The third number represents the number of hours per week assigned for independent study.","Students are graded based on regular coursework, individual and group assignments and a final exam.",1,6,,Freshmore Core
50.001,Information Systems and Programming,"This course is an introduction to the design and programming of information systems and is taught using the Java programming language, building on students’ foundation of python from previous courses. Topics include object oriented programming, data structures, object-oriented design principles, mobile system and programming, design pattern and use of software libraries. Students learn how to build software that is flexible and maintainable with changing requirements. The course includes a project to build an Android app to apply the concepts learnt.",10.025,,"Identify and describe the requirements for an information system.
Use object-oriented methodology to produce a modular and testable design.
Work as part of a team to produce a working system on time.","Apply the key concepts of Object Oriented Programming [exams].
Use object-oriented design principles in designing software systems. [projects, homework, exams].
Identify classes, members of a class and the relationships among them needed for a specific problem [projects, homework, exams].
Implement and test basic algorithms and data structures [projects, homework, exams).
Apply basic principles of user-interface design [projects].
Develop skills in systematic testing and debugging [projects].
Work together in a team [projects].","Programming with Java using Android Studio, Static Checking
Basic Object-Oriented Programming (OOP) principles: Abstraction, Encapsulation, Inheritance, Polymorphism
Classes, Abstract Class, Interface
Exceptions
Recursion
Object-Oriented Design Principles : SOLID, Loose Coupling
Object-Oriented Design Patterns: Strategy, Observer, Template Method, Singleton, Builder, Factory
Basic Concurrency concepts: threads, race condition, synchronized keyword
Mobile programming with Android",,,,4,12,"Norman Lee Tiong Seng, Fredy Tantri, Qin Yanxia",Core
50.002,Computational Structures,"This course introduces architecture of digital systems, emphasising structural principles common to a wide range of technologies. Topics include Multilevel implementation strategies; definition of new primitives (e.g., gates, instructions, procedures, and processes) and their mechanisation using lower-level elements. Analysis of potential concurrency; precedence constraints and performance measures; pipelined and multidimensional systems; instruction set design issues; architectural support for contemporary software structures.",10.025,,"State the role of abstraction in the design of large digital systems, and explain the major software and hardware abstractions in contemporary computer systems.
Design simple hardware systems based on a variety of digital abstractions such as ROMs, logic arrays and state machines.
Synthesize digital systems from a library of representative components and test the designs under simulation.
Describe the operation of a moderately complex digital system — a simple RISC-based computer — down to the gate level, and be able to specify, implement and debug its components.
Appreciate the technical skills necessary to be a capable digital systems engineer.
Explain the fundamentals of modern operating systems.","Identify flaws and limitations in simple systems implemented using the static discipline.
Identify flaws and limitations in simple systems implemented using clocked registers with asynchronous inputs.
Identify flaws and limitations in simple systems implemented using semaphores for process synchronization.
Characterize the logic function of combinational devices using CMOS, ROM or PLA technologies.
Explain synthesis issues for combinational devices using CMOS, ROM or PLA technologies from their functional specification.
Explain synthesis of acyclic circuits from combinational components.
Calculate performance characteristics of acyclic circuits with combinational components.
Explain and calculate performance characteristics of single-clock sequential circuits.
Implement a simple RISC-based CPU architecture.
Explain the underlaying theory of memory hierarchy.
Implement a device handler using interrupt and SVC.
Implement a synchronisation system for processes using semaphore.","Course overview and mechanics, Basics of Information
The Digital Abstraction, CMOS Technology
Basic Hardware Lab (Combine with EPD)
Logic Synthesis
Logic Simplification, Multiplexer, ROM
SW Lab1 (CMOS)
Sequential Logic
Finite State Machines and Synchronization
SW Lab 2 (Adder)
Computers and Programs
The Assembly Language
SW Lab 3 (ALU)
The C language, Stacks and Procedures
Stacks and Procedures (II)
Building the Beta
Building the Beta (II)
SW Lab 5 (Assembly Language)
Memory Hierarchy
Cache Issues
SW Lab 6 (Beta)
Virtual Memory
Virtual Machines
SW Lab 6 (Beta)
Device Handlers and Bus
Processes, Synchronization, and Deadlock, OS summary
SW Lab 8 (Tiny OS)","Stephen A. Ward, Robert H. Halstead, Computation Structures (The MIT Electrical Engineering and Computer Science Series). Cambridge, MA: MIT Press. 1999.",,,4,12,"Natalie Agus, Angela Wang Bo, Felix Loh",Core
50.003,Elements of Software Construction,"This course is an introduction to the fundamental principles and techniques of software construction that have greatest impact on practice. Topics include capturing the essence of a problem by recognizing and inventing suitable abstractions; key paradigms, including basic concepts of software design and their expression using notations from Unified Modeling Language (UML); software testing, automated software test generation, automated software security testing via blackbox, greybox and whitebox fuzzing approaches, detection and removal of software code smells, software coding standards to avoid security loopholes, concurrent programming, including programming with threads and processes, understanding concurrency problems like deadlock and data race. This course includes exercises in software design, implementation, testing and reasoning.",50.001,,"Design medium-scale software system from scratch: formulating and analyzing the problem to be solved; writing formal software requirements, exploring and formulating system designs; and using extensive and systematic testing and reasoning to ensure quality.
Apply key software engineering ideas, including invariants, decoupling, and data abstraction.
Apply key software engineering ideas, including software design, specification, abstraction, verification and correctness.
Apply widely used design concepts and notations (UML diagrams) and patterns in exploring and articulating problems and designs.
Learning effective techniques on ensuring quality of large-scale software systems.
Apply concepts of systematic software testing to discover bugs (including security vulnerabilities) in large-scale software systems.
Apply concepts to reason about the security loopholes in software systems.
Learning secure software coding standards.
Learning key concepts in developing concurrent programs.
Learning key concepts in reasoning and testing concurrent programs.","Build medium-scale software prototype (LO 1-5).
Design solution to questions related to the requirement prior to software development. (LO1, LO2 and LO4).
Design blackbox, whitebox and diabolic software tests for validating software prototype. (LO6).
Design critical part of the software by reasoning about its security. (LO8).
Design small/medium-scale concurrent programs. (LO9).
Design techniques to reason about the correctness of the concurrent programs (LO10).
Design software prototype with the objective of its maintainability and security. (LO5, LO7).
Design sofware testing methodologies to automatically discover potential security vulnerabilities, such as program crashes (LO6).","Software Development Process
Software Design and UML
Automated Software Testing: Test Execution and Test Oracle
Software Test Design: Blackbox, Whitebox and Fault-based.
Web App Testing
Software Test Generation and Fuzzing: Blackbox, Greybox and Whitebox
Software Secure Coding Patterns for Java
Software Code Smells and Refactoring
Introduction to Concurrency and Sockets
Basics of Threads
Thread Safety and Synchronization
Composing Thread-safe Objects
Building Blocks
Tasks and Thread Pools
Concurrency Pitfalls and Testing
Performance and Patterns; Non-blocking Algorithms","Brian Goetz et al., Java Concurrency in Practice, 1st ed.  Boston, MA: Addison-Wesley, 2006.",,,5,12,"Kenny Lu, Dileepa Fernando",Core
50.004,Algorithms,"This course is an introduction to algorithms and algorithmic thinking. The course covers common algorithms, algorithmic paradigms, and data structures that can be used to solve computational problems. Emphasis is placed on understanding why algorithms work, and how to analyse the complexity of algorithms. Students will learn the underlying thought process on how to design their own algorithms, including how to use suitable data structures and techniques such as dynamic programming to design algorithms that are efficient.",10.025,,"At the end of the term, students will be able to:

Analyse the running times of algorithms.
Demonstrate familiarity with major algorithms and data structures.
Use suitable data structures in algorithms to solve computational problems.
Identify major issues in the implementation of algorithms.
Solve algorithmic issues in the design of information systems.
Understand graphs as data structures, and implement graph traversals.
Apply Bellman-Ford algorithm and Dijkstra’s algorithm to compute shortest paths in graphs.
Design efficient algorithms using dynamic programming to solve computational problems.
Analyse NP-complete problems and apply polynomial-time reductions to problems.","Compute the asymptotic complexity of algorithms.
Analyse and apply properties of data structures.
Design algorithms that build upon basic operations on data structures.
Apply and/or modify existing algorithms to solve computational problems.
Compute hash tables and perform re-hashing.
Implement graph-based algorithms on provided graphs.
Design efficient algorithms using dynamic programming.
Analyse NP-complete problems and apply polynomial-time reductions to problems.","Complexity, Asymptotic notation
Document distance
Peak finding, divide-and-conquer
Sorting algorithms, master theorem
Heaps, priority queues, analysis of heap algorithms
Binary search trees (BSTs), BST operations, AVL trees
Arrays vs linked lists, hashing, designing good hash functions, re-hashing
Graphs as data structures, breadth-first search, depth-first search, topological sort
Single source shortest path problem, Bellman-Ford algorithm, Dijkstra’s algorithm
Dynamic Programming (DP), designing DP algorithms
DP problems: rod-cutting problem, knapsack problem, text justification problem, matrix chain parenthesization
P vs NP, decision problems, polynomial-time reduction, NP-hardness
Examples of NP-complete problems (inc. multiple graph-related NP-complete problems)
More graph-theoretic terminology, 3-SAT problem","Thomas H. Cormen et al., Introduction to Algorithms, 3rd ed. Cambridge, MA: The MIT Press, 2009.
Bradley N. Miller and David L. Ranum, Problem Solving With Algorithms and Data Structures Using Python, 2nd ed. Portland, OR: Franklin, Beedle & Associates, 2011.",,,4,12,"Ernest Chong
Soh De Wen
Cyrille Jegourel
Pritee Agrawal",Core
50.005,Computer System Engineering,"Topics on the engineering of computing and networking systems: design challenges; techniques for controlling complexity; operating systems and networking systems: performance; strong modularity; client-server; naming; security and privacy, atomicity and coordination of concurrent activities; user and end-to-end applications. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Students will complete two design/implementation projects.",50.002,,"At the end of the term, students will be able to:

Explain sources of complexity in computer system design, e.g. incommensurate scaling and emergent properties.
Exploit systems design principles to cope with the complexity, e.g., modularity, hierarchy, layering, indirection.
Command software tools to measure performance and understand how actual computing and network systems work.
Explain the design and implementation of real-world computing and networking (i.e., Internet) systems, e.g., DNS, HTTP, OpenSSL.
Develop programming skills to develop OS and networking tools and software.","Use software tools to understand, measure, and design modern computing systems.
Implement concurrent and network programs in Java.
Explain the conceptual underpinnings of modern computing system design; apply relevant principles and techniques in conceptual problem solving.","Key challenges and basic principles in the design of large-scale computing systems
Process management and multithreaded programming
Process scheduling, synchronization, deadlock
Memory management, file system, and I/O system
End-to-end network performance (e.g., loss, throughput, and delay) and impact on network applications
Network security: applied cryptography; key certification; confidentiality, integrity, authentication, and availability; types of network attacks; design of secure network protocols
Network naming and addressing; DNS as a scalable and distributed infrastructure for name resolution in the Internet
Client-server network programming; HTTP and the World Wide Web","Abraham Silberschatz et al., Operating System Concepts with Java, 8th ed. New York, NY: John Wiley & Sons, 2010.
James Kurose and Keith Ross, Computer Networking – A Top Down Approach, 6th ed. Upper Saddle River, NJ: Pearson, 2012.",,,5,12,"David Yau
Natalie Agus",Core
50.006,User Interface Design and Implementation,"The course will introduce the field of Human-Computer Interaction (HCI), Interaction Design and Usability in the context of today’s diverse interactive products. The course will cover usability principles, design guidelines and heuristics, user-centred design, usability engineering, user experience and evaluation techniques, and will include a series of mini design exercises and design-implementation projects. Students who successfully complete the course will be well-equipped with the concepts and language to argue and discuss how well a system’s front-end (e.g. a website, a mobile app, a museum kiosk, etc.) is designed and be able to design usable, easy-to-use, intuitive, attractive user-interfaces informed by the concepts and knowledge learned during the course.",10.025,,"Understand the concept of usability, design principles, guidelines, heuristics and other fundamentals of Human-Computer Interaction.
Analyse a set of requirements in terms of its user-interface implications.
Develop a usage scenario for a given set of user requirements and available technologies.
Construct a user-interaction strategy for a given problem.
Sketch a series of user-interfaces for a given use scenario.
Implement a designed user-interface to demonstrate its functionality and usability.
Employ a set of usability engineering methods to refine a designed user-interface.
Evaluate a user-interface using suitable evaluation methodology.","Apply design principles, guidelines and heuristics to create a user-interaction strategy that solves a real-world problem.
Design a usable and compelling user-interface given a set of requirements and available technologies.
Communicate effectively the designed user-interface to relevant stakeholders using design rationale and a sketching/presentation tool in an informed, reasonable and persuasive way.
Conduct an evaluation of a user-interface by employing a series of evaluation methods available in usability engineering.","User classification and user centred design
Information visualisation and interactivity
Usability principles and guidelines, UI prototyping tools
Anthropomorphism and framing the interaction strategies; metaphor
Personal and social impact of technology and experience design; ethical issues of interaction design
Usability evaluation techniques","Ben Shneiderman and Catherine Plaisant, Designing the User Interface: Strategies for Effective Human-Computer Interaction, 5th ed. Boston, MA: Addison-Wesley, 2010.
David Benyon, Designing Interactive Systems: A Comprehensive Guide to HCI, UX and Interaction Design, 3rd ed. Upper Saddle River, NJ: Pearson, 2013.
Jennifer Preece et al., Interaction Design: Beyond Human-Computer Interaction, 3rd ed. New York, NY: John Wiley & Sons, 2011.
Jakob Nielsen, Usability Engineering, 1st ed. San Francisco, CA: Morgan-Kaufmann, 1993.
Kevin Mullet and Darrell Sano, Designing Visual Interfaces: Communication Oriented Techniques. New York, NY: Prentice Hall, 1994.",,,7,12,Kenny Choo,Elective
50.007,Machine Learning,"Machine learning is the study of algorithms that improve their performance at some task with experience. In this course, students will learn how machine learning has led to many innovative real-world applications. The students will also gain an in-depth understanding of a broad range of machine learning algorithms from basic to state-of-the-art, such as: naïve Bayes, logistic regression, neural networks, clustering, probabilistic graphical models, reinforcement learning and SVMs.","50.001,
50.004",,"At the end of the term, students will be able to:

Recognise the characteristics of machine learning that make it useful to real-world problems.
Explain the basic underlying concepts for supervised discriminative and generative learning.
Explain the concepts of cross-validation and regularisation, be able to use them for estimation of algorithm parameters.
Characterise machine learning algorithms as supervised, semi-supervised, and unsupervised.
Have heard of a few machine learning toolboxes.
Use support vector machines.
Use regularised regression algorithms.
Explain the concept behind neural networks for learning non-linear functions.
Apply unsupervised algorithms for clustering.
Explain the foundation of generative models.
Implement the inference and learning algorithms for the hidden Markov model.
Explain the learning algorithm for hidden Markov model with latent variables.
Explain algorithms for learning Bayesian networks.
Explain reinforcement learning algorithms.","List useful real-world applications of machine learning.
Implement and apply machine learning algorithms.
Choose appropriate algorithms for a variety of problems.","Introduction
Perceptron
Linear Regression
Logistic Regression
Support Vector Machines
Kernel Methods
Neural Networks and Deep Learning
Clustering
Generative Models
Mixture Models and Expectation Maximization
Hidden Markov Model
Bayesian networks
Reinforcement Learning","Richard O. Duda et al., Pattern Classification, 2nd ed. New York, NY: Wiley-Interscience, 2012.
Tom Mitchell, Machine Learning, 1st ed. New York, NY: McGraw-Hill, 1997.",,,"5,6,8",12,"Pritee Agrawal (term 5)
Lu Wei (Term 6/8)
Zhao Na (Term 6/8)",Elective
50.012,Networks,"This course will introduce the principles and practice of computer networking, with emphasis on the Internet. Students will learn concepts, principles, protocols, and applications of computer networks, including packet switching, layered architectures, TCP/IP, physical layer, error control, window flow control, local area networks (Ethernet, Token Ring; FDDI), network layer, congestion control, quality of service, multicast, network programming interfaces, networked applications.",50.005,,"Explain fundamental network protocols.
Describe the organisation of computer networks, and classify factors influencing computer network development and the reasons for having variety of different types of networks.
Solve standard problems in interconnections between autonomous networks.
Model the Internet structure and derive operational parameters.
Design optimized network topology for given problem settings.
Analyse and evaluate a provided network setup.
Design and implement a server-client architecture based on sockets.","Description of the essential features of different networking protocols, such as TCP, IP, DNS, and ARP.
Conceptual design of a computer network based on a set of provided operational requirements.
Application of routing algorithms to determine the shortest path in an network such as the internet, modelled as a weighted graph.
Model and analysis of a network of autonomous systems.
Analysis of a real network setup and critique of the design decisions.
Design and implementation of a client-server application program using sockets.","Computer Networks and the Internet
Application Layer
Transport Layer
The Network Layer
The Link Layer: Links, Access Networks, and LANs
Embedded networks and bus systems
Wireless Networks
Mobile Networks
Multimedia Networking and QoS
Network Management
Recent trends in networking (SDN, overlay networks)","James F. Kurose and Keith W. Ross, Computer Networking: A Top-Down Approach, 6th ed. Upper Saddle River, NJ: Pearson, 2012.",,,"6,8",12,Chen Binbin,Elective
